"rules","support","confidence","lift"
"{大数的认识,公顷和平方千米,角的度量,数学广角,统计} => {三位数乘两位数,平行四边形和梯形}",0.032,1,7.308
"{基础知识,数学广角（植树问题）,位置与方向,统计表格,小数的意义和性质} => {数学广角}",0.011,1,2.317
"{数学广角,数学广角（植树问题）,位置与方向,统计表格,小数的意义和性质} => {基础知识}",0.011,1,13.571
"{除数是两位数,大数的认识,角的度量,三位数乘两位数,平行四边形和梯形,统计} => {数学广角}",0.063,1,2.317
"{除数是两位数,大数的认识,角的度量,三位数乘两位数,平行四边形和梯形,数学广角} => {统计}",0.063,1,2.879
"{除数是两位数,大数的认识,角的度量,数学广角,统计} => {三位数乘两位数,平行四边形和梯形}",0.063,1,7.308
"{大数的认识,角的度量,三位数乘两位数,平行四边形和梯形,数学广角,统计} => {除数是两位数}",0.063,1,10.556
"{除数是两位数,三位数乘两位数,平行四边形和梯形,数学广角,统计} => {大数的认识,角的度量}",0.063,0.667,6.333
"{除数是两位数,大数的认识,公顷和平方千米,角的度量,三位数乘两位数,平行四边形和梯形,统计} => {数学广角}",0.032,1,2.317
"{除数是两位数,大数的认识,公顷和平方千米,角的度量,三位数乘两位数,平行四边形和梯形,数学广角} => {统计}",0.032,1,2.879
"{除数是两位数,大数的认识,公顷和平方千米,角的度量,数学广角,统计} => {三位数乘两位数,平行四边形和梯形}",0.032,1,7.308
"{大数的认识,公顷和平方千米,角的度量,三位数乘两位数,平行四边形和梯形,数学广角,统计} => {除数是两位数}",0.032,1,10.556
