"rules","support","confidence","lift"
"{哪座房子最漂亮,一去二三里} => {影子}",0.013,0.7,7.574
"{司马光,小壁虎借尾巴,四个太阳} => {乌鸦喝水}",0.063,1,12.581
"{古诗两首,美丽的小路,失物招领} => {荷叶圆圆}",0.054,1,8.323
"{荷叶圆圆,美丽的小路,失物招领} => {古诗两首}",0.054,0.935,11.77
"{古诗两首,荷叶圆圆} => {美丽的小路,失物招领}",0.054,0.879,13.983
"{比尾巴,小小的船} => {阳光}",0.05,0.9,11.066
"{比尾巴,阳光} => {小小的船}",0.05,0.964,14.099
"{比尾巴,小小的船} => {影子}",0.055,1,10.82
"{比尾巴,影子} => {小小的船}",0.055,0.968,14.15
"{比尾巴,阳光} => {影子}",0.052,1,10.82
"{比尾巴,影子} => {阳光}",0.052,0.903,11.106
"{阳光,影子} => {比尾巴}",0.052,0.778,13.149
"{春雨的色彩,邓小平爷爷植树,古诗两首,松鼠和松果,美丽的小路,失物招领} => {看电视,胖乎乎的小手}",0.041,1,9.491
"{春雨的色彩,邓小平爷爷植树,古诗两首,松鼠和松果,美丽的小路,失物招领} => {月亮的心愿,两只鸟蛋}",0.041,1,10.608
"{春雨的色彩,邓小平爷爷植树,古诗两首,松鼠和松果,美丽的小路,失物招领} => {棉鞋里的阳光}",0.041,1,9.661
"{春雨的色彩,邓小平爷爷植树,古诗两首,松鼠和松果,美丽的小路,失物招领} => {荷叶圆圆}",0.041,1,8.323
"{春雨的色彩,邓小平爷爷植树,古诗两首,松鼠和松果,美丽的小路,失物招领} => {柳树醒了}",0.041,1,6.679
"{看电视,胖乎乎的小手,松鼠和松果,美丽的小路,失物招领} => {月亮的心愿,两只鸟蛋}",0.041,1,10.608
"{松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {看电视,胖乎乎的小手}",0.041,0.957,9.079
"{看电视,胖乎乎的小手,松鼠和松果,美丽的小路,失物招领} => {棉鞋里的阳光}",0.041,1,9.661
"{棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领} => {看电视,胖乎乎的小手}",0.041,1,9.491
"{看电视,胖乎乎的小手,松鼠和松果,美丽的小路,失物招领} => {荷叶圆圆}",0.041,1,8.323
"{荷叶圆圆,松鼠和松果,美丽的小路,失物招领} => {看电视,胖乎乎的小手}",0.041,0.957,9.079
"{看电视,胖乎乎的小手,松鼠和松果,美丽的小路,失物招领} => {柳树醒了}",0.041,1,6.679
"{柳树醒了,松鼠和松果,美丽的小路,失物招领} => {看电视,胖乎乎的小手}",0.041,0.957,9.079
"{松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {棉鞋里的阳光}",0.041,0.957,9.241
"{棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领} => {月亮的心愿,两只鸟蛋}",0.041,1,10.608
"{松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {荷叶圆圆}",0.043,1,8.323
"{荷叶圆圆,松鼠和松果,美丽的小路,失物招领} => {月亮的心愿,两只鸟蛋}",0.043,1,10.608
"{松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {柳树醒了}",0.043,1,6.679
"{柳树醒了,松鼠和松果,美丽的小路,失物招领} => {月亮的心愿,两只鸟蛋}",0.043,1,10.608
"{棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领} => {荷叶圆圆}",0.041,1,8.323
"{荷叶圆圆,松鼠和松果,美丽的小路,失物招领} => {棉鞋里的阳光}",0.041,0.957,9.241
"{棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领} => {柳树醒了}",0.041,1,6.679
"{柳树醒了,松鼠和松果,美丽的小路,失物招领} => {棉鞋里的阳光}",0.041,0.957,9.241
"{荷叶圆圆,松鼠和松果,美丽的小路,失物招领} => {柳树醒了}",0.043,1,6.679
"{柳树醒了,松鼠和松果,美丽的小路,失物招领} => {荷叶圆圆}",0.043,1,8.323
"{春雨的色彩,邓小平爷爷植树,古诗两首,看电视,胖乎乎的小手} => {月亮的心愿,两只鸟蛋}",0.041,0.957,10.147
"{春雨的色彩,邓小平爷爷植树,古诗两首,月亮的心愿,两只鸟蛋} => {看电视,胖乎乎的小手}",0.041,1,9.491
"{春雨的色彩,邓小平爷爷植树,古诗两首,看电视,胖乎乎的小手} => {棉鞋里的阳光}",0.043,1,9.661
"{春雨的色彩,邓小平爷爷植树,古诗两首,棉鞋里的阳光} => {看电视,胖乎乎的小手}",0.043,1,9.491
"{春雨的色彩,邓小平爷爷植树,古诗两首,看电视,胖乎乎的小手} => {荷叶圆圆}",0.043,1,8.323
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆} => {看电视,胖乎乎的小手}",0.043,1,9.491
"{春雨的色彩,邓小平爷爷植树,古诗两首,看电视,胖乎乎的小手} => {柳树醒了}",0.043,1,6.679
"{春雨的色彩,邓小平爷爷植树,古诗两首,柳树醒了} => {看电视,胖乎乎的小手}",0.043,0.958,9.096
"{春雨的色彩,邓小平爷爷植树,古诗两首,月亮的心愿,两只鸟蛋} => {棉鞋里的阳光}",0.041,1,9.661
"{春雨的色彩,邓小平爷爷植树,古诗两首,棉鞋里的阳光} => {月亮的心愿,两只鸟蛋}",0.041,0.957,10.147
"{春雨的色彩,邓小平爷爷植树,古诗两首,月亮的心愿,两只鸟蛋} => {荷叶圆圆}",0.041,1,8.323
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆} => {月亮的心愿,两只鸟蛋}",0.041,0.957,10.147
"{春雨的色彩,邓小平爷爷植树,古诗两首,月亮的心愿,两只鸟蛋} => {柳树醒了}",0.041,1,6.679
"{春雨的色彩,邓小平爷爷植树,古诗两首,柳树醒了} => {月亮的心愿,两只鸟蛋}",0.041,0.917,9.724
"{春雨的色彩,邓小平爷爷植树,古诗两首,棉鞋里的阳光} => {荷叶圆圆}",0.043,1,8.323
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆} => {棉鞋里的阳光}",0.043,1,9.661
"{春雨的色彩,邓小平爷爷植树,古诗两首,棉鞋里的阳光} => {柳树醒了}",0.043,1,6.679
"{春雨的色彩,邓小平爷爷植树,古诗两首,柳树醒了} => {棉鞋里的阳光}",0.043,0.958,9.258
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆} => {柳树醒了}",0.043,1,6.679
"{春雨的色彩,邓小平爷爷植树,古诗两首,柳树醒了} => {荷叶圆圆}",0.043,0.958,7.976
"{小小的船,阳光} => {影子}",0.052,0.966,10.447
"{小小的船,影子} => {阳光}",0.052,0.875,10.759
"{阳光,影子} => {小小的船}",0.052,0.778,11.372
"{阳光,一去二三里} => {影子}",0.015,0.615,6.658
"{口耳目,阳光} => {一去二三里}",0.011,0.857,4.178
"{口耳目,在家里} => {一去二三里}",0.144,1,4.874
"{一去二三里,在家里} => {口耳目}",0.144,0.987,5.342
"{口耳目,一去二三里} => {在家里}",0.144,0.839,5.744
"{看电视,胖乎乎的小手,月亮的心愿,两只鸟蛋} => {棉鞋里的阳光}",0.041,1,9.661
"{看电视,胖乎乎的小手,棉鞋里的阳光} => {月亮的心愿,两只鸟蛋}",0.041,0.917,9.724
"{看电视,胖乎乎的小手,月亮的心愿,两只鸟蛋} => {荷叶圆圆}",0.041,1,8.323
"{荷叶圆圆,看电视,胖乎乎的小手} => {月亮的心愿,两只鸟蛋}",0.041,0.88,9.335
"{荷叶圆圆,月亮的心愿,两只鸟蛋} => {看电视,胖乎乎的小手}",0.041,0.88,8.352
"{看电视,胖乎乎的小手,月亮的心愿,两只鸟蛋} => {柳树醒了}",0.041,1,6.679
"{看电视,胖乎乎的小手,柳树醒了} => {月亮的心愿,两只鸟蛋}",0.041,0.917,9.724
"{柳树醒了,月亮的心愿,两只鸟蛋} => {看电视,胖乎乎的小手}",0.041,0.917,8.7
"{看电视,胖乎乎的小手,棉鞋里的阳光} => {荷叶圆圆}",0.044,1,8.323
"{荷叶圆圆,看电视,胖乎乎的小手} => {棉鞋里的阳光}",0.044,0.96,9.274
"{荷叶圆圆,棉鞋里的阳光} => {看电视,胖乎乎的小手}",0.044,0.923,8.761
"{看电视,胖乎乎的小手,棉鞋里的阳光} => {柳树醒了}",0.044,1,6.679
"{看电视,胖乎乎的小手,柳树醒了} => {棉鞋里的阳光}",0.044,1,9.661
"{柳树醒了,棉鞋里的阳光} => {看电视,胖乎乎的小手}",0.044,0.8,7.593
"{荷叶圆圆,看电视,胖乎乎的小手} => {柳树醒了}",0.044,0.96,6.412
"{看电视,胖乎乎的小手,柳树醒了} => {荷叶圆圆}",0.044,1,8.323
"{荷叶圆圆,柳树醒了} => {看电视,胖乎乎的小手}",0.044,0.727,6.903
"{荷叶圆圆,月亮的心愿,两只鸟蛋} => {棉鞋里的阳光}",0.043,0.92,8.888
"{荷叶圆圆,棉鞋里的阳光} => {月亮的心愿,两只鸟蛋}",0.043,0.885,9.384
"{柳树醒了,月亮的心愿,两只鸟蛋} => {棉鞋里的阳光}",0.041,0.917,8.856
"{柳树醒了,棉鞋里的阳光} => {月亮的心愿,两只鸟蛋}",0.041,0.733,7.779
"{荷叶圆圆,月亮的心愿,两只鸟蛋} => {柳树醒了}",0.043,0.92,6.145
"{柳树醒了,月亮的心愿,两只鸟蛋} => {荷叶圆圆}",0.043,0.958,7.976
"{荷叶圆圆,柳树醒了} => {月亮的心愿,两只鸟蛋}",0.043,0.697,7.393
"{口耳目,影子} => {一去二三里}",0.013,0.875,4.265
"{荷叶圆圆,棉鞋里的阳光} => {柳树醒了}",0.046,0.962,6.422
"{柳树醒了,棉鞋里的阳光} => {荷叶圆圆}",0.046,0.833,6.936
"{荷叶圆圆,柳树醒了} => {棉鞋里的阳光}",0.046,0.758,7.319
"{比尾巴,小小的船,阳光} => {影子}",0.05,1,10.82
"{比尾巴,小小的船,影子} => {阳光}",0.05,0.9,11.066
"{比尾巴,阳光,影子} => {小小的船}",0.05,0.964,14.099
"{春雨的色彩,邓小平爷爷植树,古诗两首,看电视,胖乎乎的小手,松鼠和松果,美丽的小路,失物招领} => {月亮的心愿,两只鸟蛋}",0.041,1,10.608
"{春雨的色彩,邓小平爷爷植树,古诗两首,松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {看电视,胖乎乎的小手}",0.041,1,9.491
"{春雨的色彩,邓小平爷爷植树,古诗两首,看电视,胖乎乎的小手,松鼠和松果,美丽的小路,失物招领} => {棉鞋里的阳光}",0.041,1,9.661
"{春雨的色彩,邓小平爷爷植树,古诗两首,棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领} => {看电视,胖乎乎的小手}",0.041,1,9.491
"{春雨的色彩,邓小平爷爷植树,古诗两首,看电视,胖乎乎的小手,松鼠和松果,美丽的小路,失物招领} => {荷叶圆圆}",0.041,1,8.323
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆,松鼠和松果,美丽的小路,失物招领} => {看电视,胖乎乎的小手}",0.041,1,9.491
"{春雨的色彩,邓小平爷爷植树,古诗两首,看电视,胖乎乎的小手,松鼠和松果,美丽的小路,失物招领} => {柳树醒了}",0.041,1,6.679
"{春雨的色彩,邓小平爷爷植树,古诗两首,柳树醒了,松鼠和松果,美丽的小路,失物招领} => {看电视,胖乎乎的小手}",0.041,1,9.491
"{春雨的色彩,邓小平爷爷植树,古诗两首,松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {棉鞋里的阳光}",0.041,1,9.661
"{春雨的色彩,邓小平爷爷植树,古诗两首,棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领} => {月亮的心愿,两只鸟蛋}",0.041,1,10.608
"{春雨的色彩,邓小平爷爷植树,古诗两首,松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {荷叶圆圆}",0.041,1,8.323
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆,松鼠和松果,美丽的小路,失物招领} => {月亮的心愿,两只鸟蛋}",0.041,1,10.608
"{春雨的色彩,邓小平爷爷植树,古诗两首,松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {柳树醒了}",0.041,1,6.679
"{春雨的色彩,邓小平爷爷植树,古诗两首,柳树醒了,松鼠和松果,美丽的小路,失物招领} => {月亮的心愿,两只鸟蛋}",0.041,1,10.608
"{春雨的色彩,邓小平爷爷植树,古诗两首,棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领} => {荷叶圆圆}",0.041,1,8.323
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆,松鼠和松果,美丽的小路,失物招领} => {棉鞋里的阳光}",0.041,1,9.661
"{春雨的色彩,邓小平爷爷植树,古诗两首,棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领} => {柳树醒了}",0.041,1,6.679
"{春雨的色彩,邓小平爷爷植树,古诗两首,柳树醒了,松鼠和松果,美丽的小路,失物招领} => {棉鞋里的阳光}",0.041,1,9.661
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆,松鼠和松果,美丽的小路,失物招领} => {柳树醒了}",0.041,1,6.679
"{春雨的色彩,邓小平爷爷植树,古诗两首,柳树醒了,松鼠和松果,美丽的小路,失物招领} => {荷叶圆圆}",0.041,1,8.323
"{看电视,胖乎乎的小手,松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {棉鞋里的阳光}",0.041,1,9.661
"{看电视,胖乎乎的小手,棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领} => {月亮的心愿,两只鸟蛋}",0.041,1,10.608
"{棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {看电视,胖乎乎的小手}",0.041,1,9.491
"{看电视,胖乎乎的小手,松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {荷叶圆圆}",0.041,1,8.323
"{荷叶圆圆,看电视,胖乎乎的小手,松鼠和松果,美丽的小路,失物招领} => {月亮的心愿,两只鸟蛋}",0.041,1,10.608
"{荷叶圆圆,松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {看电视,胖乎乎的小手}",0.041,0.957,9.079
"{看电视,胖乎乎的小手,松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {柳树醒了}",0.041,1,6.679
"{看电视,胖乎乎的小手,柳树醒了,松鼠和松果,美丽的小路,失物招领} => {月亮的心愿,两只鸟蛋}",0.041,1,10.608
"{柳树醒了,松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {看电视,胖乎乎的小手}",0.041,0.957,9.079
"{看电视,胖乎乎的小手,棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领} => {荷叶圆圆}",0.041,1,8.323
"{荷叶圆圆,看电视,胖乎乎的小手,松鼠和松果,美丽的小路,失物招领} => {棉鞋里的阳光}",0.041,1,9.661
"{荷叶圆圆,棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领} => {看电视,胖乎乎的小手}",0.041,1,9.491
"{看电视,胖乎乎的小手,棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领} => {柳树醒了}",0.041,1,6.679
"{看电视,胖乎乎的小手,柳树醒了,松鼠和松果,美丽的小路,失物招领} => {棉鞋里的阳光}",0.041,1,9.661
"{柳树醒了,棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领} => {看电视,胖乎乎的小手}",0.041,1,9.491
"{荷叶圆圆,看电视,胖乎乎的小手,松鼠和松果,美丽的小路,失物招领} => {柳树醒了}",0.041,1,6.679
"{看电视,胖乎乎的小手,柳树醒了,松鼠和松果,美丽的小路,失物招领} => {荷叶圆圆}",0.041,1,8.323
"{荷叶圆圆,柳树醒了,松鼠和松果,美丽的小路,失物招领} => {看电视,胖乎乎的小手}",0.041,0.957,9.079
"{棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {荷叶圆圆}",0.041,1,8.323
"{荷叶圆圆,松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {棉鞋里的阳光}",0.041,0.957,9.241
"{荷叶圆圆,棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领} => {月亮的心愿,两只鸟蛋}",0.041,1,10.608
"{棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {柳树醒了}",0.041,1,6.679
"{柳树醒了,松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {棉鞋里的阳光}",0.041,0.957,9.241
"{柳树醒了,棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领} => {月亮的心愿,两只鸟蛋}",0.041,1,10.608
"{荷叶圆圆,松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {柳树醒了}",0.043,1,6.679
"{柳树醒了,松鼠和松果,美丽的小路,失物招领,月亮的心愿,两只鸟蛋} => {荷叶圆圆}",0.043,1,8.323
"{荷叶圆圆,柳树醒了,松鼠和松果,美丽的小路,失物招领} => {月亮的心愿,两只鸟蛋}",0.043,1,10.608
"{荷叶圆圆,棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领} => {柳树醒了}",0.041,1,6.679
"{柳树醒了,棉鞋里的阳光,松鼠和松果,美丽的小路,失物招领} => {荷叶圆圆}",0.041,1,8.323
"{荷叶圆圆,柳树醒了,松鼠和松果,美丽的小路,失物招领} => {棉鞋里的阳光}",0.041,0.957,9.241
"{春雨的色彩,邓小平爷爷植树,古诗两首,看电视,胖乎乎的小手,月亮的心愿,两只鸟蛋} => {棉鞋里的阳光}",0.041,1,9.661
"{春雨的色彩,邓小平爷爷植树,古诗两首,看电视,胖乎乎的小手,棉鞋里的阳光} => {月亮的心愿,两只鸟蛋}",0.041,0.957,10.147
"{春雨的色彩,邓小平爷爷植树,古诗两首,棉鞋里的阳光,月亮的心愿,两只鸟蛋} => {看电视,胖乎乎的小手}",0.041,1,9.491
"{春雨的色彩,邓小平爷爷植树,古诗两首,看电视,胖乎乎的小手,月亮的心愿,两只鸟蛋} => {荷叶圆圆}",0.041,1,8.323
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆,看电视,胖乎乎的小手} => {月亮的心愿,两只鸟蛋}",0.041,0.957,10.147
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆,月亮的心愿,两只鸟蛋} => {看电视,胖乎乎的小手}",0.041,1,9.491
"{春雨的色彩,邓小平爷爷植树,古诗两首,看电视,胖乎乎的小手,月亮的心愿,两只鸟蛋} => {柳树醒了}",0.041,1,6.679
"{春雨的色彩,邓小平爷爷植树,古诗两首,看电视,胖乎乎的小手,柳树醒了} => {月亮的心愿,两只鸟蛋}",0.041,0.957,10.147
"{春雨的色彩,邓小平爷爷植树,古诗两首,柳树醒了,月亮的心愿,两只鸟蛋} => {看电视,胖乎乎的小手}",0.041,1,9.491
"{春雨的色彩,邓小平爷爷植树,古诗两首,看电视,胖乎乎的小手,棉鞋里的阳光} => {荷叶圆圆}",0.043,1,8.323
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆,看电视,胖乎乎的小手} => {棉鞋里的阳光}",0.043,1,9.661
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆,棉鞋里的阳光} => {看电视,胖乎乎的小手}",0.043,1,9.491
"{春雨的色彩,邓小平爷爷植树,古诗两首,看电视,胖乎乎的小手,棉鞋里的阳光} => {柳树醒了}",0.043,1,6.679
"{春雨的色彩,邓小平爷爷植树,古诗两首,看电视,胖乎乎的小手,柳树醒了} => {棉鞋里的阳光}",0.043,1,9.661
"{春雨的色彩,邓小平爷爷植树,古诗两首,柳树醒了,棉鞋里的阳光} => {看电视,胖乎乎的小手}",0.043,1,9.491
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆,看电视,胖乎乎的小手} => {柳树醒了}",0.043,1,6.679
"{春雨的色彩,邓小平爷爷植树,古诗两首,看电视,胖乎乎的小手,柳树醒了} => {荷叶圆圆}",0.043,1,8.323
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆,柳树醒了} => {看电视,胖乎乎的小手}",0.043,1,9.491
"{春雨的色彩,邓小平爷爷植树,古诗两首,棉鞋里的阳光,月亮的心愿,两只鸟蛋} => {荷叶圆圆}",0.041,1,8.323
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆,月亮的心愿,两只鸟蛋} => {棉鞋里的阳光}",0.041,1,9.661
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆,棉鞋里的阳光} => {月亮的心愿,两只鸟蛋}",0.041,0.957,10.147
"{春雨的色彩,邓小平爷爷植树,古诗两首,棉鞋里的阳光,月亮的心愿,两只鸟蛋} => {柳树醒了}",0.041,1,6.679
"{春雨的色彩,邓小平爷爷植树,古诗两首,柳树醒了,月亮的心愿,两只鸟蛋} => {棉鞋里的阳光}",0.041,1,9.661
"{春雨的色彩,邓小平爷爷植树,古诗两首,柳树醒了,棉鞋里的阳光} => {月亮的心愿,两只鸟蛋}",0.041,0.957,10.147
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆,月亮的心愿,两只鸟蛋} => {柳树醒了}",0.041,1,6.679
"{春雨的色彩,邓小平爷爷植树,古诗两首,柳树醒了,月亮的心愿,两只鸟蛋} => {荷叶圆圆}",0.041,1,8.323
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆,柳树醒了} => {月亮的心愿,两只鸟蛋}",0.041,0.957,10.147
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆,棉鞋里的阳光} => {柳树醒了}",0.043,1,6.679
"{春雨的色彩,邓小平爷爷植树,古诗两首,柳树醒了,棉鞋里的阳光} => {荷叶圆圆}",0.043,1,8.323
"{春雨的色彩,邓小平爷爷植树,古诗两首,荷叶圆圆,柳树醒了} => {棉鞋里的阳光}",0.043,1,9.661
"{看电视,胖乎乎的小手,棉鞋里的阳光,月亮的心愿,两只鸟蛋} => {荷叶圆圆}",0.041,1,8.323
"{荷叶圆圆,看电视,胖乎乎的小手,月亮的心愿,两只鸟蛋} => {棉鞋里的阳光}",0.041,1,9.661
"{荷叶圆圆,看电视,胖乎乎的小手,棉鞋里的阳光} => {月亮的心愿,两只鸟蛋}",0.041,0.917,9.724
"{荷叶圆圆,棉鞋里的阳光,月亮的心愿,两只鸟蛋} => {看电视,胖乎乎的小手}",0.041,0.957,9.079
"{看电视,胖乎乎的小手,棉鞋里的阳光,月亮的心愿,两只鸟蛋} => {柳树醒了}",0.041,1,6.679
"{看电视,胖乎乎的小手,柳树醒了,月亮的心愿,两只鸟蛋} => {棉鞋里的阳光}",0.041,1,9.661
"{看电视,胖乎乎的小手,柳树醒了,棉鞋里的阳光} => {月亮的心愿,两只鸟蛋}",0.041,0.917,9.724
"{柳树醒了,棉鞋里的阳光,月亮的心愿,两只鸟蛋} => {看电视,胖乎乎的小手}",0.041,1,9.491
"{荷叶圆圆,看电视,胖乎乎的小手,月亮的心愿,两只鸟蛋} => {柳树醒了}",0.041,1,6.679
"{看电视,胖乎乎的小手,柳树醒了,月亮的心愿,两只鸟蛋} => {荷叶圆圆}",0.041,1,8.323
"{荷叶圆圆,看电视,胖乎乎的小手,柳树醒了} => {月亮的心愿,两只鸟蛋}",0.041,0.917,9.724
"{荷叶圆圆,柳树醒了,月亮的心愿,两只鸟蛋} => {看电视,胖乎乎的小手}",0.041,0.957,9.079
