"rules","support","confidence","lift"
"{2、20以内的退位减法,4.100以内数的认识} => {1.认识图形(二)}",0.238,1,1.821
"{1、数一数,2、比一比,3、1-44的认识和加减法,4、认识物体和图形,3、1-5的认识和加减法} => {6-10的认识和加减法,认识钟表}",0.016,1,7.176
"{时钟,一节课的时间} => {认识钟表}",0.025,1,5.81
"{6-10的认识和加减法,认识钟表,小兰比小红少} => {1、数一数,2、比一比,3、1-5的认识和加减法,4、认识物体和图形}",0.016,1,5.81
"{1、数一数,2、比一比,3、1-5的认识和加减法,4、认识物体和图形,小兰比小红少} => {6-10的认识和加减法,认识钟表}",0.016,1,7.176
"{4.100以内数的认识,7、找规律} => {5.认识人民币,6、100以内的加法和减法}",0.016,1,5.083
"{4.100以内数的认识,5.认识人民币,6、100以内的加法和减法} => {7、找规律}",0.016,1,5.083
"{6-10的认识和加减法,认识钟表,一节课的时间} => {1、数一数,2、比一比,3、1-5的认识和加减法,4、认识物体和图形}",0.016,1,5.81
"{1、数一数,2、比一比,3、1-5的认识和加减法,4、认识物体和图形,一节课的时间} => {6-10的认识和加减法,认识钟表}",0.016,1,7.176
"{2、20以内的退位减法,分类与整理,4.100以内数的认识,7、找规律} => {5.认识人民币,6、100以内的加法和减法}",0.049,1,5.083
"{2、20以内的退位减法,分类与整理,4.100以内数的认识,5.认识人民币,6、100以内的加法和减法} => {7、找规律}",0.049,1,5.083
"{2、20以内的退位减法,分类与整理,4.100以内数的认识,7、找规律} => {1.认识图形(二)}",0.049,1,1.821
"{2、20以内的退位减法,分类与整理,4.100以内数的认识,5.认识人民币,6、100以内的加法和减法} => {1.认识图形(二)}",0.049,1,1.821
"{7、找规律,分类与整理} => {5.认识人民币,6、100以内的加法和减法}",0.082,1,5.083
"{5.认识人民币,6、100以内的加法和减法,分类与整理} => {7、找规律}",0.082,1,5.083
"{5.认识人民币,6、100以内的加法和减法,7、找规律} => {2、20以内的退位减法,4.100以内数的认识}",0.131,0.667,2.805
"{2、20以内的退位减法,4.100以内数的认识,7、找规律} => {5.认识人民币,6、100以内的加法和减法}",0.131,1,5.083
"{2、20以内的退位减法,4.100以内数的认识,5.认识人民币,6、100以内的加法和减法} => {7、找规律}",0.131,1,5.083
"{5.认识人民币,6、100以内的加法和减法,7、找规律} => {1.认识图形(二)}",0.18,0.917,1.669
"{1.认识图形(二),7、找规律} => {5.认识人民币,6、100以内的加法和减法}",0.18,1,5.083
"{1.认识图形(二),5.认识人民币,6、100以内的加法和减法} => {7、找规律}",0.18,1,5.083
"{7、找规律,分类与整理} => {2、20以内的退位减法,4.100以内数的认识}",0.082,1,4.207
"{2、20以内的退位减法,4.100以内数的认识,7、找规律} => {分类与整理}",0.082,0.625,2.46
"{7、找规律,分类与整理} => {1.认识图形(二)}",0.082,1,1.821
"{2、20以内的退位减法,4.100以内数的认识,7、找规律} => {1.认识图形(二)}",0.131,1,1.821
"{1.认识图形(二),7、找规律} => {2、20以内的退位减法,4.100以内数的认识}",0.131,0.727,3.06
"{5.认识人民币,6、100以内的加法和减法,分类与整理} => {2、20以内的退位减法,4.100以内数的认识}",0.082,1,4.207
"{2、20以内的退位减法,4.100以内数的认识,5.认识人民币,6、100以内的加法和减法} => {分类与整理}",0.082,0.625,2.46
"{5.认识人民币,6、100以内的加法和减法,分类与整理} => {1.认识图形(二)}",0.082,1,1.821
"{2、20以内的退位减法,4.100以内数的认识,5.认识人民币,6、100以内的加法和减法} => {1.认识图形(二)}",0.131,1,1.821
"{1.认识图形(二),5.认识人民币,6、100以内的加法和减法} => {2、20以内的退位减法,4.100以内数的认识}",0.131,0.727,3.06
"{2、20以内的退位减法,4.100以内数的认识,分类与整理} => {1.认识图形(二)}",0.189,1,1.821
"{1.认识图形(二),分类与整理} => {2、20以内的退位减法,4.100以内数的认识}",0.189,1,4.207
"{1.认识图形(二),2、20以内的退位减法,4.100以内数的认识} => {分类与整理}",0.189,0.793,3.121
"{2、20以内的退位减法,分类与整理,4.100以内数的认识,5.认识人民币,6、100以内的加法和减法,7、找规律} => {1.认识图形(二)}",0.049,1,1.821
"{1.认识图形(二),2、20以内的退位减法,分类与整理,4.100以内数的认识,7、找规律} => {5.认识人民币,6、100以内的加法和减法}",0.049,1,5.083
"{1.认识图形(二),2、20以内的退位减法,分类与整理,4.100以内数的认识,5.认识人民币,6、100以内的加法和减法} => {7、找规律}",0.049,1,5.083
"{5.认识人民币,6、100以内的加法和减法,7、找规律,分类与整理} => {2、20以内的退位减法,4.100以内数的认识}",0.082,1,4.207
"{2、20以内的退位减法,4.100以内数的认识,5.认识人民币,6、100以内的加法和减法,7、找规律} => {分类与整理}",0.082,0.625,2.46
"{2、20以内的退位减法,4.100以内数的认识,7、找规律,分类与整理} => {5.认识人民币,6、100以内的加法和减法}",0.082,1,5.083
"{2、20以内的退位减法,4.100以内数的认识,5.认识人民币,6、100以内的加法和减法,分类与整理} => {7、找规律}",0.082,1,5.083
"{5.认识人民币,6、100以内的加法和减法,7、找规律,分类与整理} => {1.认识图形(二)}",0.082,1,1.821
"{1.认识图形(二),7、找规律,分类与整理} => {5.认识人民币,6、100以内的加法和减法}",0.082,1,5.083
"{1.认识图形(二),5.认识人民币,6、100以内的加法和减法,分类与整理} => {7、找规律}",0.082,1,5.083
"{2、20以内的退位减法,4.100以内数的认识,5.认识人民币,6、100以内的加法和减法,7、找规律} => {1.认识图形(二)}",0.131,1,1.821
"{1.认识图形(二),5.认识人民币,6、100以内的加法和减法,7、找规律} => {2、20以内的退位减法,4.100以内数的认识}",0.131,0.727,3.06
"{1.认识图形(二),2、20以内的退位减法,4.100以内数的认识,7、找规律} => {5.认识人民币,6、100以内的加法和减法}",0.131,1,5.083
"{1.认识图形(二),2、20以内的退位减法,4.100以内数的认识,5.认识人民币,6、100以内的加法和减法} => {7、找规律}",0.131,1,5.083
"{2、20以内的退位减法,4.100以内数的认识,7、找规律,分类与整理} => {1.认识图形(二)}",0.082,1,1.821
"{1.认识图形(二),7、找规律,分类与整理} => {2、20以内的退位减法,4.100以内数的认识}",0.082,1,4.207
"{1.认识图形(二),2、20以内的退位减法,4.100以内数的认识,7、找规律} => {分类与整理}",0.082,0.625,2.46
"{2、20以内的退位减法,4.100以内数的认识,5.认识人民币,6、100以内的加法和减法,分类与整理} => {1.认识图形(二)}",0.082,1,1.821
"{1.认识图形(二),5.认识人民币,6、100以内的加法和减法,分类与整理} => {2、20以内的退位减法,4.100以内数的认识}",0.082,1,4.207
"{1.认识图形(二),2、20以内的退位减法,4.100以内数的认识,5.认识人民币,6、100以内的加法和减法} => {分类与整理}",0.082,0.625,2.46
"{2、20以内的退位减法,4.100以内数的认识,5.认识人民币,6、100以内的加法和减法,7、找规律,分类与整理} => {1.认识图形(二)}",0.082,1,1.821
"{1.认识图形(二),5.认识人民币,6、100以内的加法和减法,7、找规律,分类与整理} => {2、20以内的退位减法,4.100以内数的认识}",0.082,1,4.207
"{1.认识图形(二),2、20以内的退位减法,4.100以内数的认识,5.认识人民币,6、100以内的加法和减法,7、找规律} => {分类与整理}",0.082,0.625,2.46
"{1.认识图形(二),2、20以内的退位减法,4.100以内数的认识,7、找规律,分类与整理} => {5.认识人民币,6、100以内的加法和减法}",0.082,1,5.083
"{1.认识图形(二),2、20以内的退位减法,4.100以内数的认识,5.认识人民币,6、100以内的加法和减法,分类与整理} => {7、找规律}",0.082,1,5.083
